0 DOI year last_cited_year
0 10.1007/s10664-017-9562-9 2018 2024
0 10.1145/3196398.3196473 2018 2025
0 10.1109/saner.2018.8330219 2018 2025
0 10.1145/3196398.3196472 2018 2022
0 10.1145/3205455.3205566 2018 2025
0 10.1145/3236024.3236063 2018 2025
0 10.1145/3180155.3180243 2018 2025
0 10.1145/3180155.3180250 2018 2025
0 10.1109/issrew.2018.00008 2018 2022
0 10.1145/3238147.3240732 2018 2025
0 10.1145/3183519.3183540 2018 2025
0 10.1145/3238147.3238162 2018 2025
0 10.1145/3192366.3192384 2018 2025
0 10.1145/3180155.3180233 2018 2025
0 10.1145/3236024.3264837 2018 2024
0 10.1016/j.jss.2018.03.046 2018 2024
0 10.1145/3180155.3182550 2018 2021
0 10.1109/icsme.2019.00050 2019 2023
0 10.1145/3338906.3338952 2019 2024
0 10.1109/gi.2019.00011 2019 2024
0 10.1145/3361242.3361245 2019 2024
0 10.1109/ase.2019.00044 2019 2025
0 10.1109/sp.2019.00071 2019 2025
0 10.1007/s11432-018-1465-6 2019 2025
0 10.1109/icst.2019.00056 2019 2023
0 10.1007/s10664-019-09770-1 2019 2023
0 10.1007/s10664-019-09742-5 2019 2025
0 10.1145/3338906.3338935 2019 2023
0 10.1145/3318162 2019 2025
0 10.1109/icst.2019.00030 2019 2025
0 10.1109/icst.2019.00020 2019 2025
0 10.1145/3293882.3330577 2019 2024
0 10.1109/saner.2019.8667970 2019 2025
0 10.1145/3293882.3330578 2019 2025
0 10.1109/saner.2019.8667991 2019 2025
0 10.1109/scam.2019.00013 2019 2024
0 10.1109/icse-seip.2019.00039 2019 2025
0 10.1016/j.jss.2019.01.069 2019 2022
0 10.1016/j.jss.2019.01.069 2019 2022
0 10.1145/3338906.3340455 2019 2025
0 10.1109/issrew.2019.00098 2019 2024
0 10.1109/botse.2019.00010 2019 2022
0 10.1145/3349589 2019 2024
0 10.1109/icse.2019.00020 2019 2025
0 10.1145/3360585 2019 2025
0 10.1145/3338906.3338925 2019 2025
0 10.1109/vissoft.2019.00011 2019 2022
0 10.1109/botse.2019.00019 2019 2024
0 10.1007/978-3-030-22351-9_31 2019 2024
0 10.1109/icse-companion.2019.00049 2019 2023
0 10.1109/esem.2019.8870172 2019 2025
0 10.1109/gi.2019.00012 2019 2025
0 10.1109/ibf.2019.8665493 2019 2025
0 10.1109/icse.2019.00063 2019 2025
0 10.1145/3290369 2019 2025
0 10.1145/3321707.3321830 2019 2024
0 10.3390/systems8010008 2020 2024
0 10.1145/3324884.3416566 2020 2025
0 10.1109/icst46399.2020.00036 2020 2025
0 10.1109/isssr51244.2020.00029 2020 2024
0 10.1109/saner48275.2020.9054842 2020 2025
0 10.1109/ibf50092.2020.9034714 2020 2025
0 10.1145/3324884.3416587 2020 2025
0 10.1109/cec48606.2020.9185913 2020 2022
0 10.1145/3419111.3421288 2020 2024
0 10.1145/3377811.3380323 2020 2025
0 10.1007/s10664-019-09780-z 2020 2025
0 10.1145/3377811.3380345 2020 2025
0 10.1109/apsec51365.2020.00015 2020 2022
0 10.1145/3377811.3380338 2020 2025
0 10.1145/3395363.3397369 2020 2025
0 10.1109/saner48275.2020.9054829 2020 2025
0 10.1109/tse.2020.3007664 2020 2025
0 10.1145/3324884.3416590 2020 2025
0 10.1109/ibf50092.2020.9034821 2020 2025
0 10.1145/3360004 2020 2025
0 10.1109/ase51524.2021.9678625 2021 2025
0 10.1109/qrs54544.2021.00075 2021 2023
0 10.1109/ms.2021.3070743 2021 2025
0 10.1109/icst49551.2021.00032 2021 2025
0 10.1109/issre52982.2021.00029 2021 2025
0 10.1109/apr52552.2021.00010 2021 2025
0 10.1145/3485538 2021 2025
0 10.1145/3418461 2021 2025
0 10.1109/icse43902.2021.00106 2021 2025
0 10.18653/v1/2021.emnlp-main.282 2021 2024
0 10.1109/icse43902.2021.00107 2021 2025
0 10.1109/ms.2021.3071086 2021 2025
0 10.1109/apr52552.2021.00013 2021 2022
